CaseID,Age,MaritalStatus,Residence,EducationLevel,NumChild,WealthIndexCategorical,WealthIndexScore
1,38,Married,Rural,No Education,8,Poorer,-51074
2,17,Single,Rural,Primary,0,Poorer,-51074
3,42,Married,Rural,Primary,6,Poorer,-50742
4,46,Married,Rural,No Education,9,Poorer,-50137
5,17,Other,Rural,No Education,1,Poorer,-50137
6,31,Married,Rural,No Education,4,Poorer,-53785
7,36,Married,Rural,No Education,3,Richest,-2828
8,31,Married,Rural,No Education,5,Poorer,-57173
9,23,Other,Rural,No Education,2,Poorest,-64141
10,17,Married,Rural,Primary,0,Middle,-37343
11,45,Married,Rural,No Education,7,Poorest,-61976
12,28,Married,Rural,Primary,0,Middle,-33812
13,25,Married,Rural,Primary,2,Middle,-37879
14,25,Married,Rural,No Education,3,Richer,-31679
15,27,Married,Rural,No Education,6,Richer,-27687
16,43,Married,Rural,No Education,7,Poorer,-57344
17,17,Single,Rural,No Education,0,Poorer,-57344
18,34,Married,Rural,No Education,5,Poorer,-48067
19,25,Married,Rural,Primary,0,Poorer,-48596
20,42,Married,Rural,No Education,6,Middle,-37901
21,19,Other,Rural,Primary,1,Middle,-37901
22,16,Single,Rural,Primary,0,Middle,-37901
23,39,Married,Rural,No Education,8,Middle,-36591
24,18,Single,Rural,Primary,0,Middle,-36591
25,25,Married,Rural,No Education,0,Poorer,-48215
26,38,Married,Rural,No Education,5,Poorest,-83839
27,20,Married,Rural,No Education,3,Poorest,-98459
28,36,Married,Rural,No Education,5,Poorest,-144953
29,38,Married,Rural,No Education,6,Poorest,-104969
30,22,Married,Rural,Primary,1,Poorest,-75491
31,30,Married,Rural,No Education,6,Poorest,-83536
32,25,Married,Rural,No Education,2,Poorest,-93471
33,36,Married,Rural,No Education,8,Poorest,-102373
34,15,Single,Rural,Primary,0,Poorest,-102373
35,21,Married,Rural,Primary,1,Poorest,-91422
36,15,Single,Rural,Primary,0,Poorest,-104538
37,29,Married,Rural,No Education,6,Poorest,-91948
38,20,Married,Rural,Primary,2,Poorest,-101166
39,16,Married,Rural,Primary,1,Poorest,-116080
40,19,Single,Rural,Higher,0,Poorer,-50385
41,20,Single,Rural,Secondary,0,Poorer,-50385
42,26,Married,Rural,No Education,5,Richer,-23046
43,30,Married,Rural,No Education,2,Middle,-37617
44,35,Other,Rural,No Education,1,Richer,-20983
45,16,Single,Rural,Secondary,0,Richer,-20983
46,27,Married,Rural,No Education,2,Richer,-30753
47,27,Married,Rural,No Education,3,Middle,-38176
48,28,Married,Rural,No Education,2,Poorer,-50071
49,40,Married,Rural,No Education,4,Middle,-44423
50,18,Other,Rural,Secondary,0,Richer,-25595
51,33,Married,Rural,No Education,3,Middle,-33620
52,32,Married,Rural,No Education,5,Richer,-30568
53,20,Married,Rural,Primary,0,Richest,-5312
54,24,Single,Rural,Secondary,0,Richer,-27268
55,27,Married,Rural,No Education,2,Poorer,-57398
56,19,Married,Rural,Primary,0,Richer,-30604
57,19,Single,Rural,Secondary,0,Middle,-35215
58,16,Single,Rural,Primary,0,Middle,-35215
59,21,Single,Rural,Higher,0,Richest,1596
60,16,Single,Rural,Secondary,0,Richest,1596
61,27,Married,Rural,No Education,1,Richer,-14339
62,30,Married,Rural,No Education,2,Richer,-31798
63,28,Other,Rural,Primary,1,Richer,-31798
64,40,Married,Rural,No Education,8,Richer,-30431
65,32,Married,Rural,No Education,4,Middle,-45081
66,27,Married,Rural,No Education,2,Poorer,-48367
67,27,Married,Rural,No Education,4,Richer,-24473
68,16,Single,Rural,No Education,0,Poorest,-119254
69,28,Married,Rural,No Education,3,Poorest,-119254
